row_id,production_time,production_day,actual_target,Толщина (СЗ),Заданный план охлаждения (PM),Ширина (СЗ),Агрегат_бригада_резки,"Скорость смотки, макс","Скорость смотки, сред",f_ulo_family_6,Назначение многозначное (СЗ),Покупатель (СЗ),Плановая неделя отгрузки (СЗ),Химия | Mn,Химия | C,"Тсм_Зеленая, макс",Химия | B,Вид кромки (СЗ),f_pm_family_6,Химия | Si,Наимен. конеч. потребителя (СЗ),Химия | Ceq1,Химия | Cr,Заправочная скорость смотки,Марка (СЗ),Код УЛО новый (ПЗ),"Общее время нагрева в печи_Зеленая, мин","Номер моталки_Зеленая, мин","Тсм_Зеленая, мин","Ткп_Зеленая, макс","Скорость после чистовой группы_Зеленая, мин","Номер моталки_Зеленая, макс",Плоскостность (Сб.зак.),"mean_yest_Тсм_Зеленая, мин",Химия | W,Химия | S,"mean_yest_Скорость смотки, макс",Марка,"mean_yest_Скорость после чистовой группы_Зеленая, мин",Химия | N,Химия | Ti,Химия | Sn,Химия | Al,f_speed_thread_gap,Семья,Химия | Sb,mean_yest_СКН | лпц-2. ткп (несоответствие заданным границам в асут). ручные вмешательства,Химия | Nb,Химия | P,Химия | Zr,"Время нахождения сляба в печах, зоны 3-8_Зеленая, макс","Скорость после чистовой группы_Зеленая, макс",Химия | Pb,Величина плоскостности (СЗ),Химия | V,"Время нахождения сляба в печах, зоны 3-8_Зеленая, мин",mean_yest_СКН | лпц-2. т5 (несоответствие заданным границам в асут),Величина плоскостности (СЗ)__unified,"mean_yest_Скорость смотки, сред",mean_yest_Заправочная скорость смотки,mean_yest_СКН | лпц-2. общее время нагрева в печи (несоответствие заданному параметру в асут),Химия | Ni,Код плательщика,mean_yest_СКН | лпц-2. ткп (несоответствие заданным границам в асут). без ручных вмешательств,Код грузополучателя (СЗ),"Наработка валков верт. кл. 5, т",Химия | Ca,Конечный потребитель (СЗ),f_ulo_missing,mean_yest_СКН | лпц-2. весь сортамент. расход воды на охлаждение рв клеть 6,mean_yest_СКН | лпц-2. дельта т5,mean_yest_СКН | лпц-2. не проведён осмотр пов-ти контрольных рулонов sherlock,mean_yest_СКН | лпц-2. скн по невязанным с м4,mean_yest_СКН | лпц-2. скн по невязанным с м5,mean_yest_СКН | лпц-2. стан 2000. кол-во упаковочных лент,mean_yest_СКН | лпц-2. тсм (несоответствие заданным границам в асут). без ручных вмешательств,"mean_yest_Общее время нагрева в печи_Зеленая, мин","mean_yest_Ткп_Зеленая, мин",mean_yest_МСО | лпц-2. стан-2000. моталка №4. м4_рвм,ind_speed_vol_20
DEMO_PRODUCT_000011,2026-01-01 03:07:05,2026-01-01,0,5.224991,DEMO_CATEGORY_08,1864.096279,12.689451,27.624069,25.481212,DEMO_CATEGORY_02,DEMO_CATEGORY_02,DEMO_CATEGORY_07,-20.601622,0.613637,,770.353020,0.335451,DEMO_CATEGORY_02,DEMO_CATEGORY_04,0.115527,DEMO_CATEGORY_07,0.148220,0.122721,4.996506,DEMO_CATEGORY_05,DEMO_CATEGORY_03,76.562795,30.000000,1008.354611,874.221680,20.241094,71.000000,DEMO_CATEGORY_06,832.134611,0.330552,0.648172,25.014012,DEMO_CATEGORY_05,24.860434,,0.571251,0.275613,0.630082,-13.140732,DEMO_CATEGORY_01,0.236091,638.616695,0.236265,0.122340,1.009605,47.688488,0.372775,0.450801,DEMO_CATEGORY_08,0.992211,297.893603,-0.398748,DEMO_CATEGORY_05,27.395486,24.854024,244.079036,0.564626,15.000000,1035.804383,8.000000,1297.971811,0.652092,49.000000,-12.073199,-8.950432,13.956910,-0.010845,-16.457424,-0.341401,13.240567,834.150772,121.089604,845.765221,5.182435,-2.261739
DEMO_PRODUCT_000012,2026-01-01 03:21:14,2026-01-01,0,9.378290,DEMO_CATEGORY_07,1784.535156,0.005302,21.055523,21.913383,DEMO_CATEGORY_04,DEMO_CATEGORY_06,DEMO_CATEGORY_01,-9.851660,0.192637,0.055779,752.467793,0.851959,DEMO_CATEGORY_07,DEMO_CATEGORY_03,0.004601,DEMO_CATEGORY_02,0.095016,0.657478,29.159249,DEMO_CATEGORY_01,DEMO_CATEGORY_05,231.717989,97.000000,809.502013,763.205401,6.834173,85.000000,DEMO_CATEGORY_05,756.919502,0.042160,0.460347,14.918927,DEMO_CATEGORY_07,24.644089,0.392896,0.454938,0.302818,0.147947,8.190719,DEMO_CATEGORY_04,0.332080,895.184659,0.074973,0.599708,0.258137,220.990556,38.810435,0.188757,DEMO_CATEGORY_05,0.600464,99.152153,3.597550,DEMO_CATEGORY_08,1.305313,19.029918,105.880437,0.438315,56.000000,723.581326,83.000000,1619.758390,0.797112,29.000000,9.543947,-7.625124,11.006196,-4.243562,-3.474223,-13.347045,-0.227856,457.499187,294.111715,772.112409,-12.552764,2.982091
DEMO_PRODUCT_000013,2026-01-01 03:42:10,2026-01-01,1,15.115220,DEMO_CATEGORY_02,814.192597,-1.516766,24.447892,7.187197,DEMO_CATEGORY_03,DEMO_CATEGORY_08,DEMO_CATEGORY_08,-4.517271,0.505129,0.437790,815.049800,0.229889,DEMO_CATEGORY_06,DEMO_CATEGORY_06,0.246480,DEMO_CATEGORY_05,0.409426,0.118392,19.204446,DEMO_CATEGORY_02,DEMO_CATEGORY_03,193.037305,27.000000,662.069814,587.358239,6.748146,59.000000,DEMO_CATEGORY_08,697.944612,0.202687,0.145344,25.689160,DEMO_CATEGORY_07,0.043950,0.174284,0.407025,0.534845,,-5.984071,DEMO_CATEGORY_03,,972.501742,0.160498,0.152643,0.002882,19.512529,36.797034,0.208510,DEMO_CATEGORY_02,0.226606,214.052350,9.844346,DEMO_CATEGORY_05,23.878091,27.445079,40.331479,1.059881,24.000000,488.646054,69.000000,360.300577,0.483543,99.000000,-1.989974,8.095503,-4.406317,19.653176,-19.411910,8.409058,1.527698,537.352638,29.444867,553.589044,-1.446959,-8.453602
DEMO_PRODUCT_000014,2026-01-01 03:51:23,2026-01-01,1,5.504179,DEMO_CATEGORY_02,1676.543237,5.918010,17.336833,29.389357,DEMO_CATEGORY_03,DEMO_CATEGORY_03,DEMO_CATEGORY_03,-7.487428,0.834596,0.209248,841.812561,0.387514,DEMO_CATEGORY_02,DEMO_CATEGORY_01,0.309692,DEMO_CATEGORY_06,0.518201,0.372530,0.398513,DEMO_CATEGORY_05,DEMO_CATEGORY_08,198.359537,23.000000,756.950113,991.413077,11.519183,5.000000,DEMO_CATEGORY_06,868.080320,0.240830,0.190638,5.650571,DEMO_CATEGORY_03,36.384437,0.086025,1.308108,1.293240,0.774931,-9.630923,DEMO_CATEGORY_04,0.197226,657.250886,0.443027,0.204519,0.713732,298.587256,20.433564,0.293594,DEMO_CATEGORY_08,0.496231,239.061075,3.518094,DEMO_CATEGORY_03,28.179692,26.406137,71.740789,0.104480,87.000000,956.548487,87.000000,3199.480311,0.420815,21.000000,4.485559,16.615848,-0.604493,-6.345895,2.214385,-6.394703,10.528168,490.400419,251.591220,840.436831,-5.281063,9.664440
DEMO_PRODUCT_000015,2026-01-01 03:57:55,2026-01-01,0,16.765248,DEMO_CATEGORY_06,968.674526,-10.049474,30.415490,18.280538,DEMO_CATEGORY_05,DEMO_CATEGORY_06,DEMO_CATEGORY_01,-2.715115,0.597207,0.133627,491.301947,0.061625,DEMO_CATEGORY_01,DEMO_CATEGORY_02,0.103117,DEMO_CATEGORY_04,0.493775,0.814937,19.575522,DEMO_CATEGORY_06,DEMO_CATEGORY_08,99.010478,29.000000,1017.436739,975.514244,0.311530,11.000000,DEMO_CATEGORY_08,451.257066,0.074849,1.581732,15.988585,DEMO_CATEGORY_05,3.933940,0.769799,0.317191,0.209615,0.099318,6.973573,DEMO_CATEGORY_07,0.059876,570.197143,0.040520,0.005960,0.002230,270.926759,20.492058,0.489455,DEMO_CATEGORY_02,0.483519,102.439969,3.267157,DEMO_CATEGORY_06,22.851291,4.795878,,0.088541,17.000000,928.659422,36.000000,3889.823161,0.590241,21.000000,1.395603,-6.261736,9.394233,0.748583,4.505010,-9.417220,-3.484416,611.463274,190.572473,945.625892,4.088653,0.505368
DEMO_PRODUCT_000016,2026-01-01 04:22:52,2026-01-01,0,11.370167,,882.133985,-12.891537,1.683940,22.057662,DEMO_CATEGORY_06,DEMO_CATEGORY_01,DEMO_CATEGORY_05,2.461997,0.420255,0.194603,650.488974,0.596003,DEMO_CATEGORY_06,DEMO_CATEGORY_04,0.701184,DEMO_CATEGORY_04,0.472743,0.253962,33.831712,DEMO_CATEGORY_04,DEMO_CATEGORY_05,148.922001,34.000000,560.051682,899.019351,25.853121,63.000000,DEMO_CATEGORY_03,911.469614,0.046689,0.491520,35.236636,DEMO_CATEGORY_05,1.895433,0.303744,0.140732,0.022898,0.454659,-3.694947,DEMO_CATEGORY_06,0.145033,832.915899,0.614033,0.432698,0.637959,267.795413,33.050281,0.208262,DEMO_CATEGORY_02,0.064336,11.021526,1.207219,DEMO_CATEGORY_06,36.838297,,110.293163,0.117520,71.000000,480.953599,32.000000,724.990303,0.465393,63.000000,-7.336492,-1.378422,-0.322913,22.460778,5.395211,7.582510,-11.669117,523.538745,223.259325,535.123190,17.665981,21.169193
DEMO_PRODUCT_000017,2026-01-01 04:32:50,2026-01-01,0,15.448012,DEMO_CATEGORY_05,1018.977013,4.083516,12.515653,26.905715,DEMO_CATEGORY_03,DEMO_CATEGORY_04,DEMO_CATEGORY_03,10.064383,0.502433,0.841620,765.991171,0.135957,DEMO_CATEGORY_01,DEMO_CATEGORY_06,1.541324,DEMO_CATEGORY_04,0.581898,0.109473,38.313460,DEMO_CATEGORY_07,DEMO_CATEGORY_01,116.969577,75.000000,993.799977,848.371552,8.050301,56.000000,DEMO_CATEGORY_06,982.032740,0.411337,0.028183,11.355433,DEMO_CATEGORY_03,35.627754,0.770973,0.013341,0.513241,0.753740,-4.849210,DEMO_CATEGORY_07,0.506708,932.792349,0.405539,0.124722,1.387939,8.239675,9.820377,0.346016,DEMO_CATEGORY_07,0.069330,215.383198,6.021217,DEMO_CATEGORY_01,11.494576,17.935451,28.142505,1.004895,33.000000,992.093984,34.000000,4259.012899,0.067012,8.000000,-4.207248,3.501514,-8.276542,6.987930,1.026686,-5.493361,-24.787812,989.987118,225.655422,554.467967,,-5.894122
DEMO_PRODUCT_000018,2026-01-01 04:40:16,2026-01-01,0,9.978564,DEMO_CATEGORY_04,1952.609026,-10.996707,27.377202,26.114871,DEMO_CATEGORY_01,DEMO_CATEGORY_08,DEMO_CATEGORY_03,-14.802040,0.859287,0.051670,888.204884,0.403272,,DEMO_CATEGORY_03,0.233149,DEMO_CATEGORY_07,0.823762,0.326706,18.671751,DEMO_CATEGORY_04,DEMO_CATEGORY_07,271.047559,24.000000,949.011610,715.867625,34.924296,39.000000,DEMO_CATEGORY_05,517.804147,0.985803,0.089323,38.782519,DEMO_CATEGORY_07,8.849517,0.633540,0.490411,0.180231,0.279070,-14.155886,DEMO_CATEGORY_01,0.239540,837.952247,0.950709,0.619810,0.393062,76.291978,37.219508,0.277923,DEMO_CATEGORY_08,0.365637,93.868462,-14.161796,DEMO_CATEGORY_07,30.246913,36.173749,296.210775,0.099421,27.000000,701.533125,1.000000,4093.489721,0.833262,62.000000,14.427144,-1.278630,1.259253,20.212147,-5.801032,6.236430,-1.522777,707.937910,281.140643,761.668556,-16.593557,-19.340063
DEMO_PRODUCT_000019,2026-01-01 04:50:06,2026-01-01,0,10.484690,DEMO_CATEGORY_06,1841.389150,-11.000102,13.185804,29.957153,DEMO_CATEGORY_06,DEMO_CATEGORY_01,DEMO_CATEGORY_04,-0.088354,1.167721,1.745115,,0.161253,,DEMO_CATEGORY_07,0.217465,DEMO_CATEGORY_05,0.272513,0.390623,17.991625,DEMO_CATEGORY_07,DEMO_CATEGORY_02,279.448888,76.000000,671.111268,529.881188,15.138245,58.000000,DEMO_CATEGORY_07,662.729059,0.219735,1.104170,23.130158,DEMO_CATEGORY_04,20.516767,0.874776,0.198701,0.330372,0.506537,-12.026550,DEMO_CATEGORY_07,0.034397,779.278675,0.041097,0.468035,0.106767,296.444922,33.491026,0.401367,DEMO_CATEGORY_03,0.501624,56.765335,-2.041511,DEMO_CATEGORY_05,13.655024,32.226553,165.882364,0.497289,97.000000,892.535299,96.000000,1885.555216,0.294760,40.000000,-13.525413,3.220916,17.410143,-4.697592,-0.069117,2.039753,-12.575838,978.960644,47.907357,894.207552,3.792711,5.988744
DEMO_PRODUCT_000020,2026-01-01 05:26:44,2026-01-01,0,12.774668,DEMO_CATEGORY_02,2128.281367,8.367560,3.141411,8.270069,DEMO_CATEGORY_05,,DEMO_CATEGORY_05,7.115437,0.209370,0.473852,813.305599,0.601932,DEMO_CATEGORY_06,DEMO_CATEGORY_06,0.183236,DEMO_CATEGORY_04,0.174110,0.234076,13.746707,DEMO_CATEGORY_01,DEMO_CATEGORY_03,33.945656,50.000000,976.593282,702.264367,18.192737,39.000000,DEMO_CATEGORY_06,971.171456,0.255563,1.114967,31.216065,DEMO_CATEGORY_01,22.745376,0.419548,0.221470,0.171505,0.896278,-0.178467,DEMO_CATEGORY_01,0.511724,910.941076,0.296441,0.214604,0.558127,188.545698,31.494434,0.319621,DEMO_CATEGORY_05,0.370015,7.862950,-0.432926,DEMO_CATEGORY_05,10.964694,35.206484,42.619508,0.789401,27.000000,1000.246065,44.000000,2240.282049,0.474892,,-15.681736,1.154015,3.547927,-8.612925,-3.118259,-2.076844,8.679150,530.922867,232.366251,845.381382,-4.296936,26.405865
